company_name,industry,ticker
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M.NS
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE.NS
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA.NS
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG.NS
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND.NS
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG.NS
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD.NS
Ceat Ltd.,Automobile and Auto Components,CEATLTD.NS
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN.NS
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT.NS
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE.NS
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND.NS
Force Motors Ltd.,Automobile and Auto Components,FORCEMOT.NS
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO.NS
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI.NS
JBM Auto Ltd.,Automobile and Auto Components,JBMA.NS
JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE.NS
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M.NS
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI.NS
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP.NS
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI.NS
MRF Ltd.,Automobile and Auto Components,MRF.NS
Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC.NS
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA.NS
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE.NS
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER.NS
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS.NS
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST.NS
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV.NS
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA.NS
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR.NS
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA.NS
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA.NS
HDFC Bank Ltd.,Banking,HDFCBANK.NS
State Bank of India,Banking,SBIN.NS
ICICI Bank Ltd.,Banking,ICICIBANK.NS
Kotak Mahindra Bank Ltd.,Banking,KOTAKBANK.NS
Axis Bank Ltd.,Banking,AXISBANK.NS
Bank of Baroda,Banking,BANKBARODA.NS
Punjab National Bank,Banking,PNB.NS
Canara Bank,Banking,CANBK.NS
Union Bank of India,Banking,UNIONBANK.NS
Indian Bank,Banking,INDIANB.NS
IDBI Bank Ltd.,Banking,IDBI.NS
AU Small Finance Bank Ltd.,Banking,AUBANK.NS
Bank of India,Banking,BANKINDIA.NS
IDFC First Bank Ltd.,Banking,IDFCFIRSTB.NS
IndusInd Bank Ltd.,Banking,INDUSINDBK.NS
Federal Bank Ltd.,Banking,FEDERALBNK.NS
Indian Overseas Bank,Banking,IOB.NS
Yes Bank Ltd.,Banking,YESBANK.NS
Bank of Maharashtra,Banking,MAHABANK.NS
UCO Bank,Banking,UCOBANK.NS
Central Bank of India,Banking,CENTRALBK.NS
Karur Vysya Bank Ltd.,Banking,KARURVYSYA.NS
Bandhan Bank Ltd.,Banking,BANDHANBNK.NS
City Union Bank Ltd.,Banking,CUB.NS
RBL Bank Ltd.,Banking,RBLBANK.NS
Jammu & Kashmir Bank Ltd.,Banking,J&KBANK.NS
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS
Cummins India Ltd.,Capital Goods,CUMMINSIND.NS
Siemens Ltd.,Capital Goods,SIEMENS.NS
Polycab India Ltd.,Capital Goods,POLYCAB.NS
ABB India Ltd.,Capital Goods,ABB.NS
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER.NS
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL.NS
Siemens Energy India Ltd.,Capital Goods,ENRIN.NS
Waaree Energies Ltd.,Capital Goods,WAAREEENER.NS
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA.NS
GE Vernova T&D India Ltd.,Capital Goods,GVT&D.NS
Suzlon Energy Ltd.,Capital Goods,SUZLON.NS
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO.NS
Supreme Industries Ltd.,Capital Goods,SUPREMEIND.NS
Escorts Kubota Ltd.,Capital Goods,ESCORTS.NS
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP.NS
Astral Ltd.,Capital Goods,ASTRAL.NS
KEI Industries Ltd.,Capital Goods,KEI.NS
Thermax Ltd.,Capital Goods,THERMAX.NS
AIA Engineering Ltd.,Capital Goods,AIAENG.NS
Premier Energies Ltd.,Capital Goods,PREMIERENE.NS
Apar Industries Ltd.,Capital Goods,APARINDS.NS
Honeywell Automation India Ltd.,Capital Goods,HONAUT.NS
PTC Industries Ltd.,Capital Goods,PTCIL.NS
Kaynes Technology India Ltd.,Capital Goods,KAYNES.NS
Timken India Ltd.,Capital Goods,TIMKEN.NS
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL.NS
HBL Engineering Ltd.,Capital Goods,HBLENGINE.NS
Welspun Corp Ltd.,Capital Goods,WELCORP.NS
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC.NS
Inox Wind Ltd.,Capital Goods,INOXWIND.NS
Godawari Power & Ispat Ltd.,Capital Goods,GPIL.NS
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG.NS
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV.NS
R R Kabel Ltd.,Capital Goods,RRKABEL.NS
Triveni Turbine Ltd.,Capital Goods,TRITURBINE.NS
