2026-06-19 18:36:28 | INFO    | orchestrator | ======================================================================
2026-06-19 18:36:28 | INFO    | orchestrator | 🚀 PORTFOLIO MODEL UPDATE — started 2026-06-19 18:36:28.098134
2026-06-19 18:36:28 | INFO    | orchestrator |    Mode: all  |  Test: True  |  Template: PERSONALISED_PORTFOLIO_ALLOCATION_MODEL_.xlsx
2026-06-19 18:36:28 | INFO    | orchestrator | ======================================================================
2026-06-19 18:36:28 | INFO    | nifty500 | 📊 Starting Nifty 500 fetch for 5 stocks…
2026-06-19 18:36:33 | WARNING | nifty500 |   ⚠️  No data for Ather Energy Ltd. (ATHER.NS)
2026-06-19 18:36:35 | INFO    | nifty500 | ✅ Nifty 500 done. 5 rows → C:\Users\Tej Bachhav\.gemini\antigravity-ide\scratch\portfolio-automation\output\nifty500_latest.csv
2026-06-19 18:36:35 | INFO    | sp500 | 📊 Starting S&P 500 fetch for 5 tickers…
2026-06-19 18:36:40 | INFO    | sp500 | ✅ S&P 500 done. 5 rows → C:\Users\Tej Bachhav\.gemini\antigravity-ide\scratch\portfolio-automation\output\sp500_latest.csv
2026-06-19 18:36:40 | INFO    | mutual_funds | 🚀 Starting EQUITY MF fetch…
2026-06-19 18:36:40 | INFO    | mutual_funds | 📥 Downloading AMFI NAV master file…
2026-06-19 18:36:41 | INFO    | mutual_funds |    AMFI: parsed 14215 schemes
2026-06-19 18:36:41 | INFO    | mutual_funds | 🔗 Matching 5 user schemes to AMFI master…
2026-06-19 18:36:43 | INFO    | mutual_funds |    Matched 5/5 (100.0%)
2026-06-19 18:36:43 | INFO    | mutual_funds | ⏳ Computing analytics for 5 schemes (this takes time — be patient)…
2026-06-19 18:36:57 | INFO    | mutual_funds | ✅ EQUITY MF done. 5 rows → C:\Users\Tej Bachhav\.gemini\antigravity-ide\scratch\portfolio-automation\output\equity_mf_latest.csv
2026-06-19 18:36:57 | INFO    | mutual_funds | 🚀 Starting DEBT MF fetch…
2026-06-19 18:36:57 | INFO    | mutual_funds | 📥 Downloading AMFI NAV master file…
2026-06-19 18:36:59 | INFO    | mutual_funds |    AMFI: parsed 14215 schemes
2026-06-19 18:36:59 | INFO    | mutual_funds | 🔗 Matching 5 user schemes to AMFI master…
2026-06-19 18:37:00 | INFO    | mutual_funds |    Matched 5/5 (100.0%)
2026-06-19 18:37:00 | INFO    | mutual_funds | ⏳ Computing analytics for 5 schemes (this takes time — be patient)…
2026-06-19 18:37:18 | INFO    | mutual_funds | ✅ DEBT MF done. 5 rows → C:\Users\Tej Bachhav\.gemini\antigravity-ide\scratch\portfolio-automation\output\debt_mf_latest.csv
2026-06-19 18:37:18 | INFO    | reit_invit | 📊 Starting REIT/InvIT fetch for 11 instruments…
2026-06-19 18:37:18 | INFO    | reit_invit |   Processing EMBASSY — Embassy Office Parks REIT
2026-06-19 18:37:20 | INFO    | reit_invit |   Processing MINDSPACE — Mindspace Business Parks REIT
2026-06-19 18:37:22 | INFO    | reit_invit |   Processing NXST — Nexus Select Trust
2026-06-19 18:37:25 | INFO    | reit_invit |   Processing INDIGRID — India Grid Trust
2026-06-19 18:37:26 | INFO    | reit_invit |   Processing PGINVIT — PowerGrid Infrastructure InvIT
2026-06-19 18:37:27 | INFO    | reit_invit |   Processing IRBINVIT — IRB InvIT Fund
2026-06-19 18:37:29 | INFO    | reit_invit |   Processing BIRET — Brookfield India Real Estate Trust
2026-06-19 18:37:30 | INFO    | reit_invit |   Processing 360ONE — 360 ONE Real Estate Investment Trust
2026-06-19 18:37:32 | INFO    | reit_invit |   Processing INDUSTOWER — Indus Towers Limited
2026-06-19 18:37:34 | INFO    | reit_invit |   Processing IRISDOTML — Iris Infratel Trust
2026-06-19 18:37:36 | INFO    | reit_invit |   Processing INDIGRIDL — India Grid Infrastructure Trust
2026-06-19 18:37:37 | INFO    | reit_invit | ✅ REIT/InvIT done. 11 rows → C:\Users\Tej Bachhav\.gemini\antigravity-ide\scratch\portfolio-automation\output\reit_invit_latest.csv
2026-06-19 18:37:37 | INFO    | orchestrator | 
======================================================================
2026-06-19 18:37:37 | INFO    | orchestrator | 📊 WRITING BACK TO EXCEL
2026-06-19 18:37:37 | INFO    | orchestrator | ======================================================================
2026-06-19 18:37:37 | INFO    | excel_writer | 📋 Copying template → C:\Users\Tej Bachhav\.gemini\antigravity-ide\scratch\portfolio-automation\output\PORTFOLIO_MODEL_UPDATED_20260619_183737.xlsx
2026-06-19 18:37:38 | INFO    | excel_writer |    Nifty 500: 102 cell updates across 5 rows
2026-06-19 18:37:38 | INFO    | excel_writer |    S&P 500: 151 cell updates across 5 rows
2026-06-19 18:37:38 | INFO    | excel_writer |    EQUITY MF: 80 cell updates across 5 rows
2026-06-19 18:37:39 | INFO    | excel_writer |    DEBT MF: 111 cell updates across 5 rows
2026-06-19 18:37:39 | INFO    | excel_writer |    REITINVIT: 213 cell updates across 11 rows
2026-06-19 18:37:40 | INFO    | excel_writer | ✅ Excel saved → C:\Users\Tej Bachhav\.gemini\antigravity-ide\scratch\portfolio-automation\output\PORTFOLIO_MODEL_UPDATED_20260619_183737.xlsx
2026-06-19 18:37:40 | INFO    | orchestrator | 
🎉 SUCCESS — updated workbook at: C:\Users\Tej Bachhav\.gemini\antigravity-ide\scratch\portfolio-automation\output\PORTFOLIO_MODEL_UPDATED_20260619_183737.xlsx
2026-06-19 18:37:40 | INFO    | orchestrator | 
⏱  Total time: 1.2 minutes
