SCHEMES,CATEGORY,_scheme_code,_match_score,CURRENT NAV,_nav_date,_fetched_at,1 DAY,7 DAY,15 DAY,30 DAY,3 MONTH,6 MONTH,1 YEAR,2 YEAR,3 YEAR,5 YEAR,7 YEAR,10 YEAR,15 YEAR,20 YEAR,25 YEAR,SINCE INCEPTION RETURN,LAUNCH DATE,ALPHA,BETA,MEAN,STANDARD DEV,SHARPE RATIO,SORTINO RATIO,52-Weeks High NAV,52-Weeks Low NAV,Discount,_status
Tata Silver E T F FoF Reg (G),Others: FoFs Domestic,154136.0,0.67,7.5853,19-Jun-2026,2026-06-21 20:09:01,-3.66,-3.58,-10.0,-12.06,0.72,,,,,,,,,,,-63.06,28-01-2026,,,,,,,12.1445,6.571,37.54,OK
Aditya Birla SL Silver E T F FOF Reg (G),Others: FoFs Domestic,149780.0,0.89,35.9815,19-Jun-2026,2026-06-21 20:09:12,-3.78,-3.48,-10.12,-12.36,0.96,14.32,110.24,58.91,45.16,,,,,,,33.75,04-02-2022,,,46.63,39.39,1.02,1.09,57.3131,16.7137,37.22,OK
SBI Silver E T F FoF Reg (G),Others: FoFs Domestic,152735.0,0.71,24.7143,19-Jun-2026,2026-06-21 20:09:12,-3.64,-3.71,-10.19,-12.43,0.78,15.12,113.56,,,,,,,,,60.65,18-07-2024,,,59.41,46.3,1.14,1.22,38.9012,11.3429,36.47,OK
HDFC Silver E T F FoF Reg (G),Others: FoFs Domestic,150736.0,0.83,37.7134,19-Jun-2026,2026-06-21 20:09:13,-3.72,-3.82,-10.29,-12.5,0.42,14.13,109.9,57.87,44.79,,,,,,,44.1,28-10-2022,,,46.65,40.87,0.98,1.06,60.6649,17.561,37.83,OK
ICICI Pru SILVER E T F FoF (G),Others: FoFs Domestic,149777.0,1.0,34.7178,19-Jun-2026,2026-06-21 20:09:14,-3.81,-3.59,-10.23,-12.39,0.96,14.26,109.41,58.2,44.71,,,,,,,32.87,02-02-2022,,,45.98,37.97,1.04,1.13,55.3406,16.1831,37.27,OK
Axis Silver FoF Reg (G),Others: FoFs Domestic,150617.0,0.57,38.9746,19-Jun-2026,2026-06-21 20:09:15,-3.72,-3.67,-9.98,-12.19,0.63,14.86,109.34,58.19,44.59,,,,,,,45.48,27-09-2022,,,44.98,38.09,1.01,1.09,62.8103,18.1942,37.95,OK
UTI Silver E T F FoF Reg (G),Others: FoFs Domestic,154136.0,0.67,7.5853,19-Jun-2026,2026-06-21 20:09:15,-3.66,-3.58,-10.0,-12.06,0.72,,,,,,,,,,,-63.06,28-01-2026,,,,,,,12.1445,6.571,37.54,OK
Kotak Silver E T F FoF Reg (G),Others: FoFs Domestic,154136.0,0.67,7.5853,19-Jun-2026,2026-06-21 20:09:16,-3.66,-3.58,-10.0,-12.06,0.72,,,,,,,,,,,-63.06,28-01-2026,,,,,,,12.1445,6.571,37.54,OK
Nippon India Silver E T F FoF Reg (G),Others: FoFs Domestic,154136.0,0.67,7.5853,19-Jun-2026,2026-06-21 20:09:17,-3.66,-3.58,-10.0,-12.06,0.72,,,,,,,,,,,-63.06,28-01-2026,,,,,,,12.1445,6.571,37.54,OK
Tata Gold E T F FoF Reg (G),Others: FoFs Domestic,154129.0,0.67,9.4795,19-Jun-2026,2026-06-21 20:09:17,-1.99,-1.41,-6.7,-7.75,-0.89,,,,,,,,,,,-26.86,28-01-2026,,,,,,,11.5655,8.7005,18.04,OK
HSBC Multi Asset Active FOF Reg (G),Others: FoFs Domestic,129191.0,1.0,41.1903,19-Jun-2026,2026-06-21 20:09:18,-0.12,1.87,1.26,1.44,9.37,6.08,16.42,11.49,16.09,12.85,13.49,12.14,,,,12.36,05-05-2014,,,16.11,11.12,0.86,1.02,41.5871,35.3812,0.95,OK
Quantum Multi Asset Active FoF Reg (G),Others: FoFs Domestic,129191.0,0.83,41.1903,19-Jun-2026,2026-06-21 20:09:19,-0.12,1.87,1.26,1.44,9.37,6.08,16.42,11.49,16.09,12.85,13.49,12.14,,,,12.36,05-05-2014,,,16.11,11.12,0.86,1.02,41.5871,35.3812,0.95,OK
Nippon India Multi Asset Omni FoF Reg (G),Others: FoFs Domestic,148665.0,0.75,23.5396,19-Jun-2026,2026-06-21 20:10:45,-0.33,1.64,0.88,0.54,7.25,4.3,10.99,11.02,18.04,16.07,,,,,,16.97,09-02-2021,,,17.58,10.44,1.06,1.23,23.9185,21.1055,1.58,OK
