Company Name,Industry,CMP Rs.,Mar Cap Rs.Cr.,P/E,EV / EBITDA,Earnings Yield %,CMP / BV,ROE %,Sales growth %,Profit growth %,From 52w high,50 DMA Rs.,200 DMA Rs.,Last Close,Pivot,S1,S2,R1,R2,SMA50,SMA200,Trend,ATR,StopLoss,TargetPrice,_ticker,_fetched_at,_status
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,844.65,15502.25,17.289242,10.352,,1.9145614,11.567,15.5,94.5,19.7,844.98,893.48,844.65,851.43,843.87,836.03,859.27,866.83,844.98,893.48,Downtrend,22.4,802.73,889.45,ARE&M.NS,2026-06-22 00:43:30,OK
Apollo Tyres Ltd.,Automobile and Auto Components,425.5,27011.22,19.713758,7.134,,1.6167139,8.719000000000001,14.2,242.60000000000002,20.73,407.29,464.64,425.5,427.62,423.38,418.77,432.23,436.47,407.29,464.64,Sideways,11.73,402.04,448.96,APOLLOTYRE.NS,2026-06-22 00:43:31,OK
Asahi India Glass Ltd.,Automobile and Auto Components,846.35,21543.9,61.23913,25.603,,5.4756083,10.4940005,14.799999999999999,36.9,21.2,859.06,912.08,846.35,868.75,850.55,839.8,879.5,897.7,859.06,912.08,Downtrend,24.56,816.11,895.46,ASAHIINDIA.NS,2026-06-22 00:43:32,OK
Ather Energy Ltd.,Automobile and Auto Components,971.7,37277.67,,-89.289,,14.468832,-33.740002000000004,73.7,,9.1,942.16,736.09,971.7,974.32,945.08,921.12,998.28,1027.52,942.16,736.09,Uptrend,48.21,895.05,1068.12,ATHERENERG.NS,2026-06-22 00:43:33,OK
Bajaj Auto Ltd.,Automobile and Auto Components,10066.0,281505.93,26.214502,19.308,,7.2506514,28.046,48.8,103.1,6.36,10057.69,9321.19,10066.0,10059.33,10018.67,9960.33,10117.67,10158.33,10057.69,9321.19,Uptrend,185.93,9694.14,10437.86,BAJAJ-AUTO.NS,2026-06-22 00:43:34,OK
Balkrishna Industries Ltd.,Automobile and Auto Components,2243.7,43666.49,35.079983,19.521,,3.9860382,,6.9,-15.0,19.51,2197.52,2309.85,2243.7,2240.33,2211.97,2189.73,2262.57,2290.93,2197.52,2309.85,Sideways,76.91,2089.87,2397.53,BALKRISIND.NS,2026-06-22 00:43:35,OK
Bharat Forge Ltd.,Automobile and Auto Components,2041.4,97338.84,90.65005,35.128,,10.170135,11.603,17.5,-17.9,0.88,1916.33,1571.53,2041.4,2024.97,2000.83,1981.77,2044.03,2068.17,1916.33,1571.53,Uptrend,54.33,1932.74,2150.06,BHARATFORG.NS,2026-06-22 00:43:35,OK
Bosch Ltd.,Automobile and Auto Components,40195.0,118766.04,42.809605,42.336,,8.000129,19.353001,18.0,3.0,4.17,37245.5,36727.7,40195.0,39926.67,39353.33,38671.67,40608.33,41181.67,37245.5,36727.7,Uptrend,1102.14,37990.71,42399.29,BOSCHLTD.NS,2026-06-22 00:43:36,OK
Ceat Ltd.,Automobile and Auto Components,3450.0,13978.34,20.046282,7.427,,2.382234,14.787,23.3,183.20000000000002,22.26,3372.57,3623.37,3450.0,3484.3,3453.6,3420.5,3517.4,3548.1,3372.57,3623.37,Sideways,92.28,3265.44,3634.56,CEATLTD.NS,2026-06-22 00:43:37,OK
Craftsman Automation Ltd.,Automobile and Auto Components,9806.5,25552.88,60.74737,22.203,,7.1407843,12.547,27.3,74.4,1.32,8431.38,7447.24,9806.5,9528.5,9429.0,9358.0,9599.5,9699.0,8431.38,7447.24,Uptrend,323.93,9158.64,10454.36,CRAFTSMAN.NS,2026-06-22 00:43:38,OK
Eicher Motors Ltd.,Automobile and Auto Components,7611.0,209963.16,38.067986,35.121,,8.359288,23.774,19.1,11.5,7.52,7203.16,7148.09,7611.0,7596.33,7524.67,7448.33,7672.67,7744.33,7203.16,7148.09,Uptrend,167.86,7275.29,7946.71,EICHERMOT.NS,2026-06-22 00:43:38,OK
Endurance Technologies Ltd.,Automobile and Auto Components,2622.4,36797.4,38.663906,18.483,,5.380015,15.156998999999999,37.9,12.7,14.85,2521.97,2610.55,2622.4,2626.47,2603.03,2582.77,2646.73,2670.17,2521.97,2610.55,Sideways,75.44,2471.53,2773.27,ENDURANCE.NS,2026-06-22 00:43:39,OK
Exide Industries Ltd.,Automobile and Auto Components,380.75,32453.0,37.990047,17.593,,2.336111,6.172,9.2,15.0,11.66,363.25,361.58,380.75,386.8,381.25,377.65,390.4,395.95,363.25,361.58,Uptrend,10.49,359.78,401.72,EXIDEIND.NS,2026-06-22 00:43:40,OK
Force Motors Ltd.,Automobile and Auto Components,18637.0,24639.61,20.352634,16.293,,5.978993,33.507999999999996,8.200000000000001,-37.0,29.54,19775.94,19444.7,18637.0,18695.67,18547.33,18432.67,18810.33,18958.67,19775.94,19444.7,Sideways,741.93,18787.14,20120.86,FORCEMOT.NS,2026-06-22 00:43:41,OK
Hero MotoCorp Ltd.,Automobile and Auto Components,4974.9,99744.33,17.396267,12.424,,4.6145244,28.027,30.2,25.7,20.61,5049.74,5398.51,4974.9,5016.53,4985.07,4948.53,5053.07,5084.53,5049.74,5398.51,Downtrend,98.43,4797.25,5171.76,HEROMOTOCO.NS,2026-06-22 00:43:42,OK
Hyundai Motor India Ltd.,Automobile and Auto Components,1973.2,160818.14,29.588877,17.597,,8.036511,29.915999999999997,4.8,-22.2,31.72,1870.35,2183.42,1973.2,1977.3,1963.4,1950.2,1990.5,2004.4,1870.35,2183.42,Sideways,49.98,1873.24,2073.16,HYUNDAI.NS,2026-06-22 00:43:42,OK
JBM Auto Ltd.,Automobile and Auto Components,727.3,17193.13,78.67966,37.064,,12.105167,15.988,12.3,-17.1,7.94,646.43,617.66,727.3,703.05,692.15,677.8,717.4,728.3,646.43,617.66,Uptrend,29.66,667.97,786.63,JBMA.NS,2026-06-22 00:43:43,OK
JK Tyre & Industries Ltd.,Automobile and Auto Components,401.3,11531.58,14.678899,7.875,,1.8795049,14.051,12.4,76.6,34.42,395.25,436.39,401.3,397.43,395.37,393.48,399.32,401.38,395.25,436.39,Sideways,13.42,375.49,428.14,JKTYRE.NS,2026-06-22 00:43:44,OK
Mahindra & Mahindra Ltd.,Automobile and Auto Components,3074.8,369798.73,20.23456,10.831,,3.6965952,18.754,30.9,44.800000000000004,19.92,3123.4,3412.84,3074.8,3134.17,3117.33,3098.17,3153.33,3170.17,3123.4,3412.84,Downtrend,74.66,2967.23,3224.13,M&M.NS,2026-06-22 00:43:45,OK
Maruti Suzuki India Ltd.,Automobile and Auto Components,13395.0,421991.13,28.710775,18.824,,3.9380717,14.434,28.199999999999996,-6.4,22.88,13270.0,14853.58,13395.0,13543.67,13373.33,13262.67,13654.33,13824.67,13270.0,14853.58,Sideways,277.36,12840.29,13949.71,MARUTI.NS,2026-06-22 00:43:45,OK
Minda Corporation Ltd.,Automobile and Auto Components,652.95,15369.07,43.302387,23.187,,5.8187714,14.739000999999998,28.999999999999996,139.1,3.96,568.8,562.89,652.95,650.85,641.7,632.5,660.05,669.2,568.8,562.89,Uptrend,22.38,608.19,697.71,MINDACORP.NS,2026-06-22 00:43:46,OK
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,38.03,25531.9,40.957447,24.157,,11.919504,32.393003,33.1,1.5,29.04,39.4,43.47,38.03,37.63,37.44,37.14,37.93,38.12,39.4,43.47,Downtrend,1.04,37.43,40.12,MSUMI.NS,2026-06-22 00:43:47,OK
MRF Ltd.,Automobile and Auto Components,128645.0,54547.46,22.466679,10.719,,2.6006541,12.295,13.4,37.1,21.36,129209.2,142853.83,128645.0,129996.67,128993.33,127901.67,131088.33,132091.67,129209.2,142853.83,Downtrend,2107.14,124430.71,132859.29,MRF.NS,2026-06-22 00:43:48,OK
Ola Electric Mobility Ltd.,Automobile and Auto Components,42.25,18739.63,,-15.417,,5.6001587,-43.16,-56.599999999999994,,40.7,39.11,39.8,42.25,42.56,41.51,40.76,43.31,44.36,39.11,39.8,Sideways,2.82,37.16,47.88,OLAELEC.NS,2026-06-22 00:43:48,OK
