symbol,name,type,sector,price,dividend_yield_pct,return_1yr,market_cap_cr,min_investment,exchange,data_date,NAV,Distribution Per Unit,Occupancy Rate %,AUM (Cr),52W High,52W Low,50 DMA,200 DMA,Return 3Yr %,Return 5Yr %,Free Cash Flow (Cr),Debt to Equity,Interest Coverage,_fetched_at,_status
EMBASSY,Embassy Office Parks REIT,REIT,Office,428.97,7.22,15.31,35064.49,429.0,NSE,2026-06-18,428.97,25.4,93.0,57800.0,454.97,360.23,428.39,417.23,,,4250.0,0.58,4.85,2026-06-18 18:12:11,OK
MINDSPACE,Mindspace Business Parks REIT,REIT,Office,463.18,6.59,15.91,22842.75,463.0,NSE,2026-06-18,463.18,23.32,97.0,38500.0,504.46,374.36,463.45,456.22,,,3180.0,0.52,5.2,2026-06-18 18:12:12,OK
NXST,Nexus Select Trust,REIT,Retail,155.39,7.13,18.02,32998.31,155.0,NSE,2026-06-18,155.39,8.8,97.0,25600.0,161.28,128.34,155.15,154.53,,,2450.0,0.28,6.5,2026-06-18 18:12:13,OK
INDIGRID,India Grid Trust,InvIT,Power Transmission,171.98,11.69,23.61,13341.62,172.0,NSE,2026-06-18,171.98,16.0,,32500.0,173.73,135.14,169.69,161.57,,,2850.0,2.2,1.91,2026-06-18 18:12:15,OK
PGINVIT,PowerGrid Infrastructure InvIT,InvIT,Power Transmission,93.89,15.98,22.86,8732.35,94.0,NSE,2026-06-18,93.89,12.05,,18200.0,94.24,75.78,91.39,88.09,,,1680.0,1.85,2.15,2026-06-18 18:12:16,OK
IRBINVIT,IRB InvIT Fund,InvIT,Roads,60.28,10.95,11.23,8507.26,60.0,NSE,2026-06-18,60.28,8.0,,15800.0,61.77,52.96,59.88,58.86,,,1420.0,1.65,2.8,2026-06-18 18:12:18,OK
BIRET,Brookfield India Real Estate Trust,REIT,Office & Commercial,319.47,6.7,10.71,21866.53,319.0,NSE,2026-06-18,319.47,20.85,90.0,39600.0,369.37,282.68,320.84,325.64,,,3520.0,0.62,4.6,2026-06-18 18:12:19,OK
360ONE,360 ONE Real Estate Investment Trust,REIT,Commercial Real Estate,1141.3,1.58,1.16,46392.32,1141.0,NSE,2026-06-18,1141.3,12.0,94.0,52000.0,1260.04,900.82,1081.63,1089.86,,,4180.0,0.48,5.8,2026-06-18 18:12:21,OK
INDUSTOWER,Indus Towers Limited,InvIT,Telecom Infrastructure,414.3,2.66,5.95,109258.77,414.0,NSE,2026-06-18,414.3,25.15,,,481.5,312.55,419.55,408.97,,,12500.0,0.6,7.54,2026-06-18 18:12:22,OK
IRISDOTML,Iris Infratel Trust,InvIT,Telecom Infrastructure,,,,,,,,,,,,,,,,,,,,,2026-06-18 18:12:24,NO_DATA
INDIGRIDL,India Grid Infrastructure Trust,InvIT,Power Transmission,171.98,11.69,23.61,13341.62,172.0,NSE,2026-06-18,171.98,,,,173.73,135.14,169.69,161.57,,,,,,2026-06-18 18:12:25,OK
