Symbol,SymbolMatch,Company Name,Sector,Market Cap ($B),Market Cap Category,P/E,P/B,PEG,EV/EBITDA,ROCE% (Return on Capital Employed),ROE 1Yr%,ROE 10Yr %,Revenue Growth 5Yr,Earnings Growth 5Yr %,EBIT Growth 5Yr %,EPS Growth 5Yr %,YoY Quarterly Revenue Growth%,YoY Quarterly Earnings Growth %,52-Week High,52-Week Low,50-Day MA,200-Day MA,Intrinsic Value,Support,Resistance,Stop Loss,Buy Price,Target Price,Trend,Fundamental View,Technical View,_fetched_at,_status
A,A,Agilent Technologies Inc,Healthcare,35.89,Large,25.51,5.03,1.25,18.67,0.0861,0.2133,0.2133,0.1,0.6,0.6,0.6,,0.577,159.62,108.35,121.14,130.09,,111.06,141.09,119.08,113.28,139.03,Sideways,4.0,73.94,2026-06-21 19:14:58,OK
AAPL,AAPL,Apple Inc,Technology,4376.98,Mega,36.12,41.05,2.41,27.46,0.2623,1.4147,1.4147,0.166,0.218,0.218,0.218,,0.194,317.4,196.08,288.63,267.79,,287.38,317.4,281.68,293.13,322.5,Uptrend,4.0,98.08,2026-06-21 19:14:59,OK
ABBV,ABBV,Abbvie Inc,Healthcare,382.49,Mega,106.12,-57.47,0.6,14.91,0.1003,,,0.124,-0.462,-0.462,-0.462,,-0.46,239.13,176.0,211.63,218.08,47.97,208.99,230.47,205.13,213.17,233.53,Sideways,1.67,75.58,2026-06-21 19:15:00,OK
ABNB,ABNB,Airbnb Inc,Consumer Cyclical,84.52,Large,35.25,11.1,1.32,28.66,0.0624,0.3232,0.3232,0.179,0.06,0.06,0.06,,0.039,147.25,110.81,136.47,129.16,202.86,127.23,143.8,133.68,129.77,155.51,Uptrend,3.0,98.51,2026-06-21 19:15:01,OK
ABT,ABT,Abbott Laboratories,Healthcare,153.99,Large,24.76,2.96,1.31,15.45,0.0559,0.1233,0.1233,0.078,-0.197,-0.197,-0.197,,-0.187,136.28,81.97,90.08,112.67,17.89,84.96,92.73,83.92,86.66,95.14,Downtrend,3.0,59.73,2026-06-21 19:15:02,OK
ACGL,ACGL,Arch Capital Group Ltd,Financial,31.86,Large,7.01,1.37,1.05,5.37,0.0457,0.2131,0.2131,-0.033,0.946,0.946,0.946,,0.824,103.39,82.45,93.91,93.39,,87.05,97.04,87.76,88.79,96.32,Sideways,5.0,73.23,2026-06-21 19:15:03,OK
ACN,ACN,Accenture plc,Technology,78.32,Large,10.22,2.52,0.9,6.58,0.109,0.2441,0.2441,0.056,0.096,0.096,0.096,,0.064,303.66,125.6,177.8,224.58,5837.84,125.6,198.0,108.84,128.11,156.68,Downtrend,4.0,56.32,2026-06-21 19:15:04,OK
ADBE,ADBE,Adobe Inc,Technology,77.58,Large,11.16,6.76,0.53,8.12,0.1993,0.6295,0.6295,0.127,0.079,0.079,0.079,,0.012,392.58,190.12,241.66,295.3,1917.95,190.12,275.44,172.29,193.92,229.47,Downtrend,4.0,57.46,2026-06-21 19:15:05,OK
ADI,ADI,Analog Devices Inc,Technology,211.62,Mega,64.56,6.27,0.95,35.27,0.0549,0.0964,0.0964,0.372,1.105,1.105,1.105,,1.065,439.7,215.48,400.01,308.93,,380.18,439.7,394.7,387.78,494.1,Uptrend,3.0,98.82,2026-06-21 19:15:07,OK
ADM,ADM,Archer Daniels Midland Co,Consumer Defensive,36.19,Large,33.53,1.59,2.38,18.32,0.0167,0.0477,0.0477,0.016,0.009,0.009,0.009,,0.01,85.37,49.77,76.17,66.0,60.89,74.28,85.37,70.31,75.77,82.28,Sideways,2.0,85.2,2026-06-21 19:15:08,OK
ADP,ADP,Automatic Data Processing Inc,Technology,87.31,Large,20.37,13.78,2.04,13.96,0.0595,0.7121,0.7121,0.07,0.105,0.105,0.105,,0.088,307.44,186.74,212.45,239.15,,213.98,235.32,205.98,218.26,237.05,Sideways,5.0,72.66,2026-06-21 19:15:09,OK
ADSK,ADSK,Autodesk Inc,Technology,40.92,Large,28.34,12.82,0.74,19.03,0.1132,0.504,0.504,0.184,2.314,2.314,2.314,,2.23,329.09,190.86,232.52,269.77,,190.86,250.49,174.12,194.68,223.37,Downtrend,4.0,58.83,2026-06-21 19:15:10,OK
AEE,AEE,Ameren Corp,Utilities,30.07,Large,19.54,2.22,2.54,13.46,0.0309,0.1175,0.1175,0.037,0.196,0.196,0.196,,0.235,114.78,91.59,109.31,104.33,,104.32,111.38,104.24,106.41,115.32,Sideways,2.0,86.2,2026-06-21 19:15:11,OK
AEP,AEP,American Electric Power Company Inc,Utilities,69.48,Large,18.92,2.18,2.34,13.34,0.0317,0.1258,0.1258,0.102,0.067,0.067,0.067,,0.093,138.43,98.01,130.67,121.43,287.39,123.74,132.12,122.76,126.21,135.09,Sideways,1.0,85.84,2026-06-21 19:15:12,OK
AES,AES,AES Corp,Utilities,10.43,Large,7.61,2.36,0.81,12.89,0.0271,0.0526,0.0526,0.087,9.511,9.511,9.511,,9.587,17.44,9.53,14.48,14.08,,14.57,14.74,14.5,14.86,14.8,Uptrend,2.0,96.58,2026-06-21 19:15:13,OK
AFL,AFL,Aflac Inc,Financial,58.77,Large,13.2,1.97,1.18,11.05,0.0309,0.1647,0.1647,0.279,38.6,38.6,38.6,,34.138,119.19,94.93,114.76,110.45,,110.54,118.83,110.63,112.75,122.73,Uptrend,5.0,98.53,2026-06-21 19:15:15,OK
AIG,AIG,American International Group Inc,Financial,39.25,Large,13.03,0.98,0.6,4.67,0.0188,0.0772,0.0772,0.014,0.216,0.216,0.216,,0.093,86.21,70.36,75.58,76.69,,71.67,78.4,70.99,73.1,78.56,Downtrend,4.0,62.88,2026-06-21 19:15:16,OK
AIZ,AIZ,Assurant Inc,Financial,12.88,Large,13.31,2.2,2.16,8.03,0.0244,0.1802,0.1802,0.113,0.912,0.912,0.912,,0.87,265.66,180.65,242.39,226.96,,244.71,265.66,249.42,249.6,275.52,Uptrend,5.0,98.67,2026-06-21 19:15:17,OK
AJG,AJG,Arthur J. Gallagher & Co,Financial,55.0,Large,34.58,2.31,0.7,16.91,0.0228,0.0701,0.0701,0.346,0.162,0.162,0.162,,0.168,323.7,190.12,209.99,241.7,,199.03,225.34,201.62,203.01,232.73,Sideways,3.0,71.92,2026-06-21 19:15:18,OK
AKAM,AKAM,Akamai Technologies Inc,Technology,18.16,Large,42.2,3.7,1.48,20.14,0.0339,0.0917,0.0917,0.058,-0.134,-0.134,-0.134,,-0.137,165.45,69.78,126.46,99.08,21.08,122.76,164.8,109.39,125.22,148.19,Sideways,1.0,83.32,2026-06-21 19:15:19,OK
ALB,ALB,Albemarle Corp,Basic Materials,18.91,Large,,2.48,0.98,20.91,0.016,-0.0182,-0.0182,0.327,,,,,6.717,220.44,55.15,180.77,145.44,318.68,146.39,179.8,142.95,149.32,186.45,Sideways,3.33,82.91,2026-06-21 19:15:20,OK
ALGN,ALGN,"Align Technology, Inc",Healthcare,13.04,Large,30.6,3.14,0.96,13.59,0.0733,0.1082,0.1082,0.062,0.239,0.239,0.239,,0.21,208.31,122.0,173.86,160.18,,160.33,185.0,167.61,163.54,203.79,Uptrend,3.0,97.11,2026-06-21 19:15:21,OK
ALL,ALL,Allstate Corp,Financial,56.93,Large,4.89,1.93,2.65,4.11,0.0752,0.4522,0.4522,0.03,3.384,3.384,3.384,,3.129,226.43,185.28,215.08,205.75,,202.21,225.27,210.25,206.25,237.55,Uptrend,5.0,98.65,2026-06-21 19:15:22,OK
ALLE,ALLE,Allegion plc,Industrials,11.48,Large,18.25,5.46,2.05,13.25,0.1103,0.3418,0.3418,0.097,-0.07,-0.07,-0.07,,-0.068,181.67,124.49,134.82,155.79,39.11,126.13,136.92,126.25,128.65,144.55,Downtrend,3.0,61.03,2026-06-21 19:15:23,OK
AMAT,AMAT,Applied Materials Inc,Technology,489.96,Mega,58.16,20.49,2.05,52.72,0.1486,0.3969,0.3969,0.114,0.335,0.335,0.335,,0.313,638.9,153.78,445.37,317.19,,421.61,638.9,537.64,430.04,736.31,Uptrend,4.0,98.49,2026-06-21 19:15:24,OK
